time,a_y,a_x,a_z,v_y,v_x,v_z,y,x,z
7.551061,0.43367886895914753,0.38629910827538694,-1.131569233604955,0.826136416887197,0.4255756658299079,0.048082686781396336,1.5282705938804602,0.7821363206588164,0.0433890601622435
7.552357,0.2655457789908322,0.5190660183070706,-1.2010023235732716,0.824581368490907,0.42354270365335794,0.030739174556968226,1.5355894161972068,0.7854123259417075,0.04278012268881877
7.562504,0.22439802462525413,0.6657182639414934,-1.4054500779388497,0.8216617136631237,0.42318027609298897,0.013026630581689659,1.542941910511208,0.7887324901107131,0.04205062205194798
7.576203,0.26027173504767914,0.8453919743639217,-1.704176367516422,0.8192189515667982,0.4251890566138727,-0.005856207545099544,1.5504187578112791,0.7922123555628483,0.04128795287463944
7.589898,0.2716057741976701,1.1579260135139147,-2.0817423283664276,0.81880606912052,0.43067820958193087,-0.02608423479735459,1.5581643321778176,0.7960131657113507,0.04061115980176234
7.592242,0.43246922684370914,1.5525894661599535,-2.686378875720384,0.8187671130908569,0.4395794560771376,-0.0498611217860041,1.5659516922437355,0.7999306174675223,0.039756495186645056
7.599752,0.5485368956539732,1.9579571349702138,-3.271911206910124,0.8195027866251963,0.45161364379120317,-0.08058488293944738,1.5735986307172873,0.8038097203462202,0.03848302448232213
7.609122,0.5156110878748302,2.147831327191069,-3.5193370146892753,0.8199166230080172,0.46624412763753964,-0.11870743358421745,1.5809980144466387,0.8075699526190386,0.036608979439824066
7.61798,0.40175521607910464,1.9084754553953434,-3.2629928864850006,0.8196367855604985,0.48242829367022594,-0.15968729300358178,1.5883367039000649,0.8114242265797881,0.03427461619746518
7.627513,0.23187712335552638,1.3159973626717743,-2.56597097920858,0.8199926454531375,0.4979822540803477,-0.19629729351466238,1.595978616458507,0.815741409507134,0.03185177298999605
7.645023,0.10178795639055854,0.6467081957067972,-1.7891601461735491,0.821054698384067,0.5099796936479117,-0.22345678801228167,1.6040384035128805,0.8206082695551707,0.02951803562225473
7.660563,-0.35771024251116407,-0.2755900031949283,-0.3379583450752828,0.826008359255822,0.520429897510884,-0.23757688654602507,1.613011819318827,0.8264716317746974,0.027859396053719652
7.669026,-0.3796186950803431,-0.5402984557641042,0.05493320235555643,0.8284131699400709,0.5236630448823828,-0.2349728409176848,1.6223764317152651,0.8327580897238545,0.026496760579916467
7.67692,-0.2930534684847517,-0.595033229168512,0.14419842895114526,0.8314355629425817,0.5250646810315145,-0.22756717672457075,1.6319107540759152,0.8392102611151677,0.025326946656351764
